,用户ID (User ID),用户行为 (User behaviour),博主ID (Blogger ID),时间 (Time),当前博主观看数,当前博主点赞数,当前博主评论数,当前博主关注数,当前博主互动数
31717,U22405,2,B52,2024-07-11 16:37:48,219,172,36,6,433
31718,U22405,1,B52,2024-07-11 16:37:48,220,172,36,6,434
31842,U22405,2,B42,2024-07-11 16:38:27,221,158,42,5,426
31844,U22405,1,B42,2024-07-11 16:38:27,222,158,42,5,427
31878,U9,1,B76,2024-07-11 16:38:37,450,234,74,26,784
31880,U9,3,B76,2024-07-11 16:38:37,450,234,75,26,785
31986,U22405,1,B47,2024-07-11 16:39:06,395,314,45,16,770
31987,U22405,2,B47,2024-07-11 16:39:06,395,315,45,16,771
32249,U22405,1,B44,2024-07-11 16:40:34,357,251,50,18,676
32250,U22405,3,B44,2024-07-11 16:40:34,357,251,51,18,677
32391,U22405,2,B59,2024-07-11 16:41:07,356,231,101,15,703
32393,U22405,1,B59,2024-07-11 16:41:07,357,231,101,15,704
34524,U9,2,B72,2024-07-11 16:51:37,431,179,59,26,695
34526,U9,1,B72,2024-07-11 16:51:37,432,179,59,26,696
35876,U9,2,B7,2024-07-11 16:58:23,566,306,96,23,991
35877,U9,1,B7,2024-07-11 16:58:23,567,306,96,23,992
36975,U9,1,B24,2024-07-11 17:03:39,623,353,111,20,1107
40036,U9,4,B23,2024-07-11 17:16:33,778,457,109,41,1385
40038,U9,1,B23,2024-07-11 17:16:33,779,457,109,41,1386
40039,U9,2,B23,2024-07-11 17:16:33,779,458,109,41,1387
58232,U9,1,B24,2024-07-11 18:52:32,1003,598,177,40,1818
58234,U9,2,B24,2024-07-11 18:52:32,1003,599,177,40,1819
58450,U9,1,B7,2024-07-11 18:53:51,935,562,205,56,1758
59554,U9,1,B23,2024-07-11 19:00:39,1192,722,181,71,2166
61444,U9,2,B4,2024-07-11 19:10:33,1413,757,307,71,2548
61445,U9,3,B4,2024-07-11 19:10:33,1413,757,308,71,2549
61448,U9,1,B4,2024-07-11 19:10:33,1414,757,308,71,2550
89583,U9,1,B13,2024-07-11 22:02:14,2072,1235,342,109,3758
89585,U9,2,B13,2024-07-11 22:02:14,2072,1236,342,109,3759
90373,U9,1,B12,2024-07-11 22:05:38,1705,776,319,98,2898
90374,U9,2,B12,2024-07-11 22:05:38,1705,777,319,98,2899
92157,U9,1,B22,2024-07-11 22:13:38,152,75,33,16,276
96551,U9,3,B24,2024-07-11 22:38:06,1629,958,276,68,2931
96553,U9,1,B24,2024-07-11 22:38:06,1630,958,276,68,2932
103561,U9,1,B2,2024-07-11 23:20:32,1888,935,389,128,3340
103562,U9,4,B2,2024-07-11 23:20:32,1888,935,389,129,3341
105993,U9,1,B68,2024-07-11 23:39:57,929,305,155,48,1437
105994,U9,3,B68,2024-07-11 23:39:57,929,305,156,48,1438
111482,U9,3,B3,2024-07-12 00:17:56,1800,1134,321,122,3377
111483,U9,2,B3,2024-07-12 00:17:56,1800,1135,321,122,3378
111484,U9,1,B3,2024-07-12 00:17:56,1801,1135,321,122,3379
112796,U16,1,B2,2024-07-12 00:24:37,2066,1038,429,148,3681
115901,U16,2,B68,2024-07-12 00:42:03,1036,351,172,56,1615
115903,U16,1,B68,2024-07-12 00:42:03,1037,351,172,56,1616
122102,U16,3,B7,2024-07-12 01:13:28,2162,1359,457,148,4126
122103,U16,1,B7,2024-07-12 01:13:28,2163,1359,457,148,4127
122795,U16,2,B13,2024-07-12 01:16:31,2845,1699,484,159,5187
122796,U16,1,B13,2024-07-12 01:16:31,2846,1699,484,159,5188
123199,U16,1,B12,2024-07-12 01:18:08,2263,1067,412,129,3871
136914,U9,1,B7,2024-07-12 02:08:06,2425,1523,516,160,4624
144904,U9,1,B27,2024-07-12 02:39:58,367,237,88,32,724
144907,U9,3,B27,2024-07-12 02:39:58,367,237,89,32,725
144908,U9,4,B27,2024-07-12 02:39:58,367,237,89,33,726
144909,U9,2,B27,2024-07-12 02:39:58,367,238,89,33,727
152586,U9,2,B16,2024-07-12 03:12:38,1272,794,268,94,2428
152592,U9,1,B16,2024-07-12 03:12:38,1273,794,268,94,2429
218065,U9,1,B6,2024-07-12 15:45:36,976,504,157,65,1702
220530,U9,1,B23,2024-07-12 15:55:24,3786,2157,554,216,6713
221331,U9,2,B4,2024-07-12 15:58:49,4457,2301,864,241,7863
221335,U9,1,B4,2024-07-12 15:58:49,4458,2301,864,241,7864
229943,U9,1,B68,2024-07-12 16:31:03,1698,541,262,82,2583
229945,U9,3,B68,2024-07-12 16:31:03,1698,541,263,82,2584
229946,U9,2,B68,2024-07-12 16:31:03,1698,542,263,82,2585
230806,U9,1,B24,2024-07-12 16:34:34,3298,1923,536,131,5888
232397,U22405,1,B43,2024-07-12 16:40:44,1466,1052,360,66,2944
232398,U22405,3,B43,2024-07-12 16:40:44,1466,1052,361,66,2945
232658,U22405,1,B52,2024-07-12 16:41:59,1959,1390,491,84,3924
232659,U22405,3,B52,2024-07-12 16:41:59,1959,1390,492,84,3925
233010,U22405,1,B42,2024-07-12 16:43:18,2095,1416,578,49,4138
233011,U22405,3,B42,2024-07-12 16:43:18,2095,1416,579,49,4139
233153,U22405,1,B47,2024-07-12 16:43:50,3081,2438,530,75,6124
233154,U22405,2,B47,2024-07-12 16:43:50,3081,2439,530,75,6125
233272,U22405,1,B44,2024-07-12 16:44:23,3221,2203,697,167,6288
233452,U22405,1,B59,2024-07-12 16:45:04,3579,2370,1040,148,7137
233453,U22405,2,B59,2024-07-12 16:45:04,3579,2371,1040,148,7138
233859,U22405,1,B45,2024-07-12 16:46:41,3017,2068,771,136,5992
233860,U22405,3,B45,2024-07-12 16:46:41,3017,2068,772,136,5993
234923,U9,2,B2,2024-07-12 16:50:48,4254,2117,806,256,7433
234924,U9,1,B2,2024-07-12 16:50:48,4255,2117,806,256,7434
326310,U9,1,B2,2024-07-12 23:45:34,6008,3088,1150,350,10596
326312,U9,3,B2,2024-07-12 23:45:34,6008,3088,1151,350,10597
329424,U9,3,B7,2024-07-12 23:59:11,5885,3597,1124,332,10938
329425,U9,1,B7,2024-07-12 23:59:11,5886,3597,1124,332,10939
329468,U9,1,B6,2024-07-12 23:59:25,2348,1294,381,148,4171
329997,U9,1,B8,2024-07-13 00:01:45,2793,1924,448,190,5355
333452,U9,2,B68,2024-07-13 00:16:02,2365,728,366,121,3580
333453,U9,1,B68,2024-07-13 00:16:02,2366,728,366,121,3581
339560,U9,4,B21,2024-07-13 00:44:29,16323,9457,2913,588,29281
339561,U9,1,B21,2024-07-13 00:44:29,16324,9457,2913,588,29282
340022,U9,1,B24,2024-07-13 00:46:31,4933,2879,820,189,8821
340856,U9,1,B23,2024-07-13 00:50:18,5902,3402,878,334,10516
340858,U9,3,B23,2024-07-13 00:50:18,5902,3402,879,334,10517
349079,U9,4,B12,2024-07-13 01:25:15,5667,2735,1049,358,9809
349083,U9,1,B12,2024-07-13 01:25:15,5668,2735,1049,358,9810
349634,U9,3,B72,2024-07-13 01:27:34,4600,2258,637,278,7773
349636,U9,1,B72,2024-07-13 01:27:34,4601,2258,637,278,7774
350198,U9,1,B13,2024-07-13 01:29:48,7521,4301,1448,447,13717
350202,U9,2,B13,2024-07-13 01:29:48,7521,4302,1448,447,13718
359077,U9,2,B3,2024-07-13 02:02:29,5986,3336,1021,390,10733
359081,U9,3,B3,2024-07-13 02:02:29,5986,3336,1022,390,10734
359083,U9,1,B3,2024-07-13 02:02:29,5987,3336,1022,390,10735
363115,U22405,2,B59,2024-07-13 02:15:29,5564,3705,1643,204,11116
363116,U22405,1,B59,2024-07-13 02:15:29,5565,3705,1643,204,11117
363282,U22405,2,B44,2024-07-13 02:16:04,4907,3181,1198,276,9562
363283,U22405,1,B44,2024-07-13 02:16:04,4908,3181,1198,276,9563
363474,U22405,1,B47,2024-07-13 02:16:41,4713,3676,905,103,9397
363475,U22405,2,B47,2024-07-13 02:16:41,4713,3677,905,103,9398
363782,U22405,1,B42,2024-07-13 02:17:46,3472,2342,960,98,6872
363784,U22405,2,B42,2024-07-13 02:17:46,3472,2343,960,98,6873
363984,U22405,1,B52,2024-07-13 02:18:24,3183,2249,809,132,6373
363986,U22405,2,B52,2024-07-13 02:18:24,3183,2250,809,132,6374
364447,U22405,1,B46,2024-07-13 02:20:03,1508,1045,415,39,3007
364448,U22405,2,B46,2024-07-13 02:20:03,1508,1046,415,39,3008
404894,U9,3,B3,2024-07-13 06:10:05,6713,3766,1145,444,12068
404895,U9,1,B3,2024-07-13 06:10:05,6714,3766,1145,444,12069
405915,U9,1,B27,2024-07-13 06:19:04,2557,1440,538,179,4714
405916,U9,2,B27,2024-07-13 06:19:04,2557,1441,538,179,4715
406935,U9,2,B72,2024-07-13 06:30:42,5227,2578,716,308,8829
406936,U9,1,B72,2024-07-13 06:30:42,5228,2578,716,308,8830
407891,U9,1,B25,2024-07-13 06:43:55,3850,2887,572,209,7518
407892,U9,2,B25,2024-07-13 06:43:55,3850,2888,572,209,7519
407893,U9,3,B25,2024-07-13 06:43:55,3850,2888,573,209,7520
412554,U9,1,B25,2024-07-13 08:22:57,3912,2919,581,209,7621
412555,U9,2,B25,2024-07-13 08:22:57,3912,2920,581,209,7622
413027,U9,2,B3,2024-07-13 08:40:07,6912,3848,1176,454,12390
413028,U9,1,B3,2024-07-13 08:40:07,6913,3848,1176,454,12391
413737,U9,1,B12,2024-07-13 09:10:22,6672,3266,1226,419,11583
413738,U9,3,B12,2024-07-13 09:10:22,6672,3266,1227,419,11584
413793,U9,1,B16,2024-07-13 09:12:54,3372,2111,656,233,6372
416259,U48420,1,B5,2024-07-13 11:34:22,19903,12773,3044,663,36383
416260,U48420,2,B5,2024-07-13 11:34:22,19903,12774,3044,663,36384
416268,U48420,1,B21,2024-07-13 11:35:12,20001,11446,3553,695,35695
416561,U48420,1,B26,2024-07-13 11:58:02,3470,1580,658,259,5967
416562,U48420,3,B26,2024-07-13 11:58:02,3470,1580,659,259,5968
417430,U48420,4,B3,2024-07-13 12:57:44,7050,3908,1198,459,12615
417431,U48420,3,B3,2024-07-13 12:57:44,7050,3908,1199,459,12616
417432,U48420,1,B3,2024-07-13 12:57:44,7051,3908,1199,459,12617
418212,U48420,3,B2,2024-07-13 13:28:38,7612,3901,1439,434,13386
418213,U48420,1,B2,2024-07-13 13:28:38,7613,3901,1439,434,13387
418214,U48420,2,B2,2024-07-13 13:28:38,7613,3902,1439,434,13388
418215,U48420,4,B2,2024-07-13 13:28:38,7613,3902,1439,435,13389
418446,U48420,1,B15,2024-07-13 13:33:18,14924,8107,2901,557,26489
418535,U48420,1,B25,2024-07-13 13:35:06,3998,2961,592,214,7765
419626,U48420,2,B6,2024-07-13 13:48:44,3183,1734,514,208,5639
419629,U48420,1,B6,2024-07-13 13:48:44,3184,1734,514,208,5640
420435,U48420,2,B20,2024-07-13 13:58:23,7064,4688,1545,313,13610
420436,U48420,1,B20,2024-07-13 13:58:23,7065,4688,1545,313,13611
443151,U48420,1,B7,2024-07-13 15:40:27,7796,4707,1404,413,14320
443153,U48420,3,B7,2024-07-13 15:40:27,7796,4707,1405,413,14321
443967,U48420,3,B27,2024-07-13 15:42:49,2842,1562,579,191,5174
443968,U48420,1,B27,2024-07-13 15:42:49,2843,1562,579,191,5175
451835,U48420,2,B21,2024-07-13 16:01:54,21652,12285,3824,762,38523
451844,U48420,3,B21,2024-07-13 16:01:54,21652,12285,3825,762,38524
451845,U48420,1,B21,2024-07-13 16:01:54,21653,12285,3825,762,38525
452148,U48420,1,B60,2024-07-13 16:02:33,9074,3784,1984,363,15205
452452,U48420,2,B5,2024-07-13 16:03:10,21598,13749,3358,703,39408
452453,U48420,1,B5,2024-07-13 16:03:10,21599,13749,3358,703,39409
454538,U48420,1,B20,2024-07-13 16:07:26,7460,4960,1617,320,14357
454539,U48420,2,B20,2024-07-13 16:07:26,7460,4961,1617,320,14358
458774,U48420,2,B4,2024-07-13 16:17:14,8851,4662,1763,503,15779
458784,U48420,1,B4,2024-07-13 16:17:14,8852,4662,1763,503,15780
460192,U48420,3,B23,2024-07-13 16:20:48,7722,4381,1196,427,13726
460194,U48420,1,B23,2024-07-13 16:20:48,7723,4381,1196,427,13727
461034,U48420,3,B24,2024-07-13 16:22:44,6514,3731,1149,250,11644
461035,U48420,1,B24,2024-07-13 16:22:44,6515,3731,1149,250,11645
461513,U48420,2,B25,2024-07-13 16:24:14,4537,3364,703,236,8840
461514,U48420,1,B25,2024-07-13 16:24:14,4538,3364,703,236,8841
463674,U48420,2,B17,2024-07-13 16:30:16,5123,3674,1267,201,10265
463676,U48420,1,B17,2024-07-13 16:30:16,5124,3674,1267,201,10266
465674,U9,1,B27,2024-07-13 16:36:18,3030,1687,615,200,5532
465676,U9,2,B27,2024-07-13 16:36:18,3030,1688,615,200,5533
465827,U22405,1,B43,2024-07-13 16:36:42,3183,2304,776,121,6384
465830,U22405,3,B43,2024-07-13 16:36:42,3183,2304,777,121,6385
466146,U22405,2,B52,2024-07-13 16:37:36,4222,3034,1024,148,8428
466148,U22405,1,B52,2024-07-13 16:37:36,4223,3034,1024,148,8429
466383,U22405,1,B42,2024-07-13 16:38:27,4465,2969,1261,125,8820
466386,U22405,2,B42,2024-07-13 16:38:27,4465,2970,1261,125,8821
466551,U22405,1,B47,2024-07-13 16:39:01,6052,4688,1208,134,12082
466552,U22405,2,B47,2024-07-13 16:39:01,6052,4689,1208,134,12083
466703,U22405,1,B44,2024-07-13 16:39:35,6379,4087,1579,354,12399
466851,U22405,2,B59,2024-07-13 16:40:10,7329,4892,2169,234,14624
466852,U22405,1,B59,2024-07-13 16:40:10,7330,4892,2169,234,14625
467458,U22405,1,B45,2024-07-13 16:41:57,6344,4317,1700,274,12635
467459,U22405,3,B45,2024-07-13 16:41:57,6344,4317,1701,274,12636
471153,U9,1,B23,2024-07-13 16:53:28,7904,4496,1241,442,14083
471161,U9,2,B23,2024-07-13 16:53:28,7904,4497,1241,442,14084
471897,U9,1,B4,2024-07-13 16:55:36,9059,4791,1828,527,16205
471901,U9,2,B4,2024-07-13 16:55:36,9059,4792,1828,527,16206
472756,U9,1,B68,2024-07-13 16:58:21,3166,993,494,160,4813
478740,U48420,1,B76,2024-07-13 17:16:53,5360,2964,828,362,9514
478741,U48420,3,B76,2024-07-13 17:16:53,5360,2964,829,362,9515
478742,U48420,2,B76,2024-07-13 17:16:53,5360,2965,829,362,9516
481477,U9,3,B24,2024-07-13 17:26:40,6830,3906,1251,266,12253
481478,U9,1,B24,2024-07-13 17:26:40,6831,3906,1251,266,12254
481482,U9,2,B24,2024-07-13 17:26:40,6831,3907,1251,266,12255
481559,U48420,1,B12,2024-07-13 17:27:01,7804,3739,1431,452,13426
483448,U9,1,B2,2024-07-13 17:34:26,8711,4500,1644,475,15330
485197,U9,1,B13,2024-07-13 17:41:15,10224,5802,1932,576,18534
492627,U48420,1,B13,2024-07-13 18:10:05,10380,5906,1962,581,18829
493112,U48420,1,B12,2024-07-13 18:11:36,7988,3846,1469,463,13766
493268,U48420,1,B72,2024-07-13 18:12:11,6370,3050,907,365,10692
495523,U48420,2,B8,2024-07-13 18:21:07,3991,2761,640,276,7668
495525,U48420,1,B8,2024-07-13 18:21:07,3992,2761,640,276,7669
499586,U48420,1,B2,2024-07-13 18:38:12,9010,4674,1705,489,15878
499587,U48420,2,B2,2024-07-13 18:38:12,9010,4675,1705,489,15879
499588,U48420,3,B2,2024-07-13 18:38:12,9010,4675,1706,489,15880
500042,U48420,1,B21,2024-07-13 18:40:06,23751,13411,4371,858,42391
501918,U48420,1,B6,2024-07-13 18:48:22,4072,2217,632,255,7176
505136,U48420,2,B26,2024-07-13 19:02:05,4022,1786,744,289,6841
505139,U48420,1,B26,2024-07-13 19:02:05,4023,1786,744,289,6842
510657,U9,1,B12,2024-07-13 19:23:42,8242,3969,1519,487,14217
510659,U9,3,B12,2024-07-13 19:23:42,8242,3969,1520,487,14218
510661,U9,2,B12,2024-07-13 19:23:42,8242,3970,1520,487,14219
529405,U48420,1,B7,2024-07-13 20:50:24,9319,5628,1765,522,17234
530286,U48420,2,B15,2024-07-13 20:55:39,18601,9987,3802,700,33090
530290,U48420,1,B15,2024-07-13 20:55:39,18602,9987,3802,700,33091
531196,U48420,1,B17,2024-07-13 21:00:35,5869,4197,1469,244,11779
531198,U48420,2,B17,2024-07-13 21:00:35,5869,4198,1469,244,11780
535471,U9,1,B3,2024-07-13 21:21:23,8447,4605,1481,548,15081
536124,U48420,3,B10,2024-07-13 21:24:26,4847,3696,968,162,9673
536126,U48420,2,B10,2024-07-13 21:24:26,4847,3697,968,162,9674
536127,U48420,4,B10,2024-07-13 21:24:26,4847,3697,968,163,9675
536129,U48420,1,B10,2024-07-13 21:24:26,4848,3697,968,163,9676
537112,U9,2,B7,2024-07-13 21:29:03,9469,5714,1793,528,17504
537113,U9,1,B7,2024-07-13 21:29:03,9470,5714,1793,528,17505
537995,U48420,2,B72,2024-07-13 21:33:30,6927,3352,984,414,11677
537997,U48420,1,B72,2024-07-13 21:33:30,6928,3352,984,414,11678
538282,U48420,2,B12,2024-07-13 21:35:06,8617,4159,1593,509,14878
538283,U48420,1,B12,2024-07-13 21:35:06,8618,4159,1593,509,14879
538772,U9,1,B12,2024-07-13 21:37:29,8627,4163,1595,509,14894
538773,U9,2,B12,2024-07-13 21:37:29,8627,4164,1595,509,14895
541513,U9,1,B23,2024-07-13 21:51:32,9113,5257,1455,538,16363
541514,U9,2,B23,2024-07-13 21:51:32,9113,5258,1455,538,16364
541558,U9,1,B13,2024-07-13 21:51:46,11420,6507,2195,657,20779
541904,U9,1,B4,2024-07-13 21:53:16,10397,5536,2137,618,18688
544018,U48420,1,B6,2024-07-13 22:03:08,4627,2523,727,295,8172
544019,U48420,3,B6,2024-07-13 22:03:08,4627,2523,728,295,8173
544083,U48420,1,B3,2024-07-13 22:03:24,8582,4677,1498,559,15316
544631,U48420,2,B2,2024-07-13 22:05:28,9904,5182,1885,532,17503
544633,U48420,1,B2,2024-07-13 22:05:28,9905,5182,1885,532,17504
544768,U48420,1,B5,2024-07-13 22:06:01,25653,16356,4172,948,47129
544770,U48420,2,B5,2024-07-13 22:06:01,25653,16357,4172,948,47130
545656,U48420,3,B4,2024-07-13 22:09:59,10483,5578,2157,625,18843
545657,U48420,1,B4,2024-07-13 22:09:59,10484,5578,2157,625,18844
549112,U48420,1,B23,2024-07-13 22:27:06,9257,5342,1478,545,16622
549113,U48420,4,B23,2024-07-13 22:27:06,9257,5342,1478,546,16623
549114,U48420,3,B23,2024-07-13 22:27:06,9257,5342,1479,546,16624
549115,U48420,2,B23,2024-07-13 22:27:06,9257,5343,1479,546,16625
557840,U48420,1,B26,2024-07-13 23:08:19,4442,1955,809,313,7519
557844,U48420,4,B26,2024-07-13 23:08:19,4442,1955,809,314,7520
558154,U48420,1,B19,2024-07-13 23:09:21,9153,5527,1765,408,16853
558875,U9,3,B25,2024-07-13 23:12:10,5784,4359,894,308,11345
558880,U9,1,B25,2024-07-13 23:12:10,5785,4359,894,308,11346
564913,U9,3,B8,2024-07-13 23:38:23,4530,3138,744,312,8724
564914,U9,1,B8,2024-07-13 23:38:23,4531,3138,744,312,8725
611628,U48420,1,B2,2024-07-14 03:26:48,11175,5871,2192,611,19849
611629,U48420,3,B2,2024-07-14 03:26:48,11175,5871,2193,611,19850
611817,U48420,1,B5,2024-07-14 03:27:52,28915,18476,4938,1164,53493
611818,U48420,3,B5,2024-07-14 03:27:52,28915,18476,4939,1164,53494
612876,U48420,1,B20,2024-07-14 03:33:56,10025,6531,2459,453,19468
612878,U48420,3,B20,2024-07-14 03:33:56,10025,6531,2460,453,19469
617709,U48420,1,B7,2024-07-14 04:04:15,10922,6604,2144,607,20277
617710,U48420,3,B7,2024-07-14 04:04:15,10922,6604,2145,607,20278
618218,U48420,1,B13,2024-07-14 04:07:39,13046,7519,2527,752,23844
618219,U48420,2,B13,2024-07-14 04:07:39,13046,7520,2527,752,23845
618443,U48420,1,B12,2024-07-14 04:09:06,9797,4768,1810,579,16954
618904,U48420,2,B45,2024-07-14 04:12:01,8379,5701,2261,370,16711
618905,U48420,1,B45,2024-07-14 04:12:01,8380,5701,2261,370,16712
619123,U48420,3,B59,2024-07-14 04:13:27,9773,6453,2958,331,19515
619126,U48420,1,B59,2024-07-14 04:13:27,9774,6453,2958,331,19516
619236,U48420,1,B44,2024-07-14 04:14:10,8422,5344,2158,491,16415
619239,U48420,2,B44,2024-07-14 04:14:10,8422,5345,2158,491,16416
619355,U48420,2,B47,2024-07-14 04:14:51,8038,6176,1657,173,16044
619356,U48420,1,B47,2024-07-14 04:14:51,8039,6176,1657,173,16045
619600,U48420,3,B42,2024-07-14 04:16:12,5963,3988,1658,171,11780
619601,U48420,1,B42,2024-07-14 04:16:12,5964,3988,1658,171,11781
620013,U48420,1,B43,2024-07-14 04:18:38,4203,3038,1024,159,8424
620016,U48420,3,B43,2024-07-14 04:18:38,4203,3038,1025,159,8425
620625,U48420,1,B35,2024-07-14 04:22:27,3308,2422,785,133,6648
620626,U48420,2,B35,2024-07-14 04:22:27,3308,2423,785,133,6649
628019,U48420,2,B10,2024-07-14 05:07:40,5764,4361,1183,195,11503
628020,U48420,1,B10,2024-07-14 05:07:40,5765,4361,1183,195,11504
629654,U48420,2,B15,2024-07-14 05:17:38,22202,11901,4689,909,39701
629655,U48420,1,B15,2024-07-14 05:17:38,22203,11901,4689,909,39702
629863,U48420,2,B21,2024-07-14 05:18:57,29998,16834,5714,1160,53706
629865,U48420,1,B21,2024-07-14 05:18:57,29999,16834,5714,1160,53707
631011,U48420,2,B8,2024-07-14 05:25:54,5098,3518,855,343,9814
631012,U48420,1,B8,2024-07-14 05:25:54,5099,3518,855,343,9815
631371,U48420,3,B3,2024-07-14 05:28:41,9722,5373,1796,663,17554
631372,U48420,1,B3,2024-07-14 05:28:41,9723,5373,1796,663,17555
631467,U48420,1,B6,2024-07-14 05:29:14,5400,2967,848,331,9546
653353,U48420,1,B5,2024-07-14 14:17:40,31139,19834,5202,1246,57421
653355,U48420,2,B5,2024-07-14 14:17:40,31139,19835,5202,1246,57422
653554,U48420,2,B60,2024-07-14 14:18:54,12311,5262,2779,571,20923
653557,U48420,1,B60,2024-07-14 14:18:54,12312,5263,2779,571,20925
653601,U48420,1,B21,2024-07-14 14:19:13,31246,17302,5815,1186,55549
