用户ID (User ID),时间 (Time),在线频率,用户行为 (User behaviour),互动次数,小时,活跃次数
U16,2024-07-12,8,1,29,0,3
U16,2024-07-12,8,1,29,1,5
U16,2024-07-12,8,1,29,14,8
U16,2024-07-12,8,1,29,17,9
U16,2024-07-12,8,1,29,18,7
U16,2024-07-12,8,1,29,20,6
U16,2024-07-12,8,1,29,21,8
U16,2024-07-12,8,1,29,22,4
U16,2024-07-12,8,2,13,0,3
U16,2024-07-12,8,2,13,1,5
U16,2024-07-12,8,2,13,14,8
U16,2024-07-12,8,2,13,17,9
U16,2024-07-12,8,2,13,18,7
U16,2024-07-12,8,2,13,20,6
U16,2024-07-12,8,2,13,21,8
U16,2024-07-12,8,2,13,22,4
U16,2024-07-12,8,3,6,0,3
U16,2024-07-12,8,3,6,1,5
U16,2024-07-12,8,3,6,14,8
U16,2024-07-12,8,3,6,17,9
U16,2024-07-12,8,3,6,18,7
U16,2024-07-12,8,3,6,20,6
U16,2024-07-12,8,3,6,21,8
U16,2024-07-12,8,3,6,22,4
U16,2024-07-12,8,4,2,0,3
U16,2024-07-12,8,4,2,1,5
U16,2024-07-12,8,4,2,14,8
U16,2024-07-12,8,4,2,17,9
U16,2024-07-12,8,4,2,18,7
U16,2024-07-12,8,4,2,20,6
U16,2024-07-12,8,4,2,21,8
U16,2024-07-12,8,4,2,22,4
U16,2024-07-16,8,1,29,0,3
U16,2024-07-16,8,1,29,1,5
U16,2024-07-16,8,1,29,14,8
U16,2024-07-16,8,1,29,17,9
U16,2024-07-16,8,1,29,18,7
U16,2024-07-16,8,1,29,20,6
U16,2024-07-16,8,1,29,21,8
U16,2024-07-16,8,1,29,22,4
U16,2024-07-16,8,2,13,0,3
U16,2024-07-16,8,2,13,1,5
U16,2024-07-16,8,2,13,14,8
U16,2024-07-16,8,2,13,17,9
U16,2024-07-16,8,2,13,18,7
U16,2024-07-16,8,2,13,20,6
U16,2024-07-16,8,2,13,21,8
U16,2024-07-16,8,2,13,22,4
U16,2024-07-16,8,3,6,0,3
U16,2024-07-16,8,3,6,1,5
U16,2024-07-16,8,3,6,14,8
U16,2024-07-16,8,3,6,17,9
U16,2024-07-16,8,3,6,18,7
U16,2024-07-16,8,3,6,20,6
U16,2024-07-16,8,3,6,21,8
U16,2024-07-16,8,3,6,22,4
U16,2024-07-16,8,4,2,0,3
U16,2024-07-16,8,4,2,1,5
U16,2024-07-16,8,4,2,14,8
U16,2024-07-16,8,4,2,17,9
U16,2024-07-16,8,4,2,18,7
U16,2024-07-16,8,4,2,20,6
U16,2024-07-16,8,4,2,21,8
U16,2024-07-16,8,4,2,22,4
U16,2024-07-17,19,1,29,0,3
U16,2024-07-17,19,1,29,1,5
U16,2024-07-17,19,1,29,14,8
U16,2024-07-17,19,1,29,17,9
U16,2024-07-17,19,1,29,18,7
U16,2024-07-17,19,1,29,20,6
U16,2024-07-17,19,1,29,21,8
U16,2024-07-17,19,1,29,22,4
U16,2024-07-17,19,2,13,0,3
U16,2024-07-17,19,2,13,1,5
U16,2024-07-17,19,2,13,14,8
U16,2024-07-17,19,2,13,17,9
U16,2024-07-17,19,2,13,18,7
U16,2024-07-17,19,2,13,20,6
U16,2024-07-17,19,2,13,21,8
U16,2024-07-17,19,2,13,22,4
U16,2024-07-17,19,3,6,0,3
U16,2024-07-17,19,3,6,1,5
U16,2024-07-17,19,3,6,14,8
U16,2024-07-17,19,3,6,17,9
U16,2024-07-17,19,3,6,18,7
U16,2024-07-17,19,3,6,20,6
U16,2024-07-17,19,3,6,21,8
U16,2024-07-17,19,3,6,22,4
U16,2024-07-17,19,4,2,0,3
U16,2024-07-17,19,4,2,1,5
U16,2024-07-17,19,4,2,14,8
U16,2024-07-17,19,4,2,17,9
U16,2024-07-17,19,4,2,18,7
U16,2024-07-17,19,4,2,20,6
U16,2024-07-17,19,4,2,21,8
U16,2024-07-17,19,4,2,22,4
U16,2024-07-20,15,1,29,0,3
U16,2024-07-20,15,1,29,1,5
U16,2024-07-20,15,1,29,14,8
U16,2024-07-20,15,1,29,17,9
U16,2024-07-20,15,1,29,18,7
U16,2024-07-20,15,1,29,20,6
U16,2024-07-20,15,1,29,21,8
U16,2024-07-20,15,1,29,22,4
U16,2024-07-20,15,2,13,0,3
U16,2024-07-20,15,2,13,1,5
U16,2024-07-20,15,2,13,14,8
U16,2024-07-20,15,2,13,17,9
U16,2024-07-20,15,2,13,18,7
U16,2024-07-20,15,2,13,20,6
U16,2024-07-20,15,2,13,21,8
U16,2024-07-20,15,2,13,22,4
U16,2024-07-20,15,3,6,0,3
U16,2024-07-20,15,3,6,1,5
U16,2024-07-20,15,3,6,14,8
U16,2024-07-20,15,3,6,17,9
U16,2024-07-20,15,3,6,18,7
U16,2024-07-20,15,3,6,20,6
U16,2024-07-20,15,3,6,21,8
U16,2024-07-20,15,3,6,22,4
U16,2024-07-20,15,4,2,0,3
U16,2024-07-20,15,4,2,1,5
U16,2024-07-20,15,4,2,14,8
U16,2024-07-20,15,4,2,17,9
U16,2024-07-20,15,4,2,18,7
U16,2024-07-20,15,4,2,20,6
U16,2024-07-20,15,4,2,21,8
U16,2024-07-20,15,4,2,22,4
U22405,2024-07-11,10,1,92,1,12
U22405,2024-07-11,10,1,92,2,65
U22405,2024-07-11,10,1,92,16,84
U22405,2024-07-11,10,1,92,20,14
U22405,2024-07-11,10,2,67,1,12
U22405,2024-07-11,10,2,67,2,65
U22405,2024-07-11,10,2,67,16,84
U22405,2024-07-11,10,2,67,20,14
U22405,2024-07-11,10,3,15,1,12
U22405,2024-07-11,10,3,15,2,65
U22405,2024-07-11,10,3,15,16,84
U22405,2024-07-11,10,3,15,20,14
U22405,2024-07-11,10,4,1,1,12
U22405,2024-07-11,10,4,1,2,65
U22405,2024-07-11,10,4,1,16,84
U22405,2024-07-11,10,4,1,20,14
U22405,2024-07-12,13,1,92,1,12
U22405,2024-07-12,13,1,92,2,65
U22405,2024-07-12,13,1,92,16,84
U22405,2024-07-12,13,1,92,20,14
U22405,2024-07-12,13,2,67,1,12
U22405,2024-07-12,13,2,67,2,65
U22405,2024-07-12,13,2,67,16,84
U22405,2024-07-12,13,2,67,20,14
U22405,2024-07-12,13,3,15,1,12
U22405,2024-07-12,13,3,15,2,65
U22405,2024-07-12,13,3,15,16,84
U22405,2024-07-12,13,3,15,20,14
U22405,2024-07-12,13,4,1,1,12
U22405,2024-07-12,13,4,1,2,65
U22405,2024-07-12,13,4,1,16,84
U22405,2024-07-12,13,4,1,20,14
U22405,2024-07-13,25,1,92,1,12
U22405,2024-07-13,25,1,92,2,65
U22405,2024-07-13,25,1,92,16,84
U22405,2024-07-13,25,1,92,20,14
U22405,2024-07-13,25,2,67,1,12
U22405,2024-07-13,25,2,67,2,65
U22405,2024-07-13,25,2,67,16,84
U22405,2024-07-13,25,2,67,20,14
U22405,2024-07-13,25,3,15,1,12
U22405,2024-07-13,25,3,15,2,65
U22405,2024-07-13,25,3,15,16,84
U22405,2024-07-13,25,3,15,20,14
U22405,2024-07-13,25,4,1,1,12
U22405,2024-07-13,25,4,1,2,65
U22405,2024-07-13,25,4,1,16,84
U22405,2024-07-13,25,4,1,20,14
U22405,2024-07-14,13,1,92,1,12
U22405,2024-07-14,13,1,92,2,65
U22405,2024-07-14,13,1,92,16,84
U22405,2024-07-14,13,1,92,20,14
U22405,2024-07-14,13,2,67,1,12
U22405,2024-07-14,13,2,67,2,65
U22405,2024-07-14,13,2,67,16,84
U22405,2024-07-14,13,2,67,20,14
U22405,2024-07-14,13,3,15,1,12
U22405,2024-07-14,13,3,15,2,65
U22405,2024-07-14,13,3,15,16,84
U22405,2024-07-14,13,3,15,20,14
U22405,2024-07-14,13,4,1,1,12
U22405,2024-07-14,13,4,1,2,65
U22405,2024-07-14,13,4,1,16,84
U22405,2024-07-14,13,4,1,20,14
U22405,2024-07-15,13,1,92,1,12
U22405,2024-07-15,13,1,92,2,65
U22405,2024-07-15,13,1,92,16,84
U22405,2024-07-15,13,1,92,20,14
U22405,2024-07-15,13,2,67,1,12
U22405,2024-07-15,13,2,67,2,65
U22405,2024-07-15,13,2,67,16,84
U22405,2024-07-15,13,2,67,20,14
U22405,2024-07-15,13,3,15,1,12
U22405,2024-07-15,13,3,15,2,65
U22405,2024-07-15,13,3,15,16,84
U22405,2024-07-15,13,3,15,20,14
U22405,2024-07-15,13,4,1,1,12
U22405,2024-07-15,13,4,1,2,65
U22405,2024-07-15,13,4,1,16,84
U22405,2024-07-15,13,4,1,20,14
U22405,2024-07-16,25,1,92,1,12
U22405,2024-07-16,25,1,92,2,65
U22405,2024-07-16,25,1,92,16,84
U22405,2024-07-16,25,1,92,20,14
U22405,2024-07-16,25,2,67,1,12
U22405,2024-07-16,25,2,67,2,65
U22405,2024-07-16,25,2,67,16,84
U22405,2024-07-16,25,2,67,20,14
U22405,2024-07-16,25,3,15,1,12
U22405,2024-07-16,25,3,15,2,65
U22405,2024-07-16,25,3,15,16,84
U22405,2024-07-16,25,3,15,20,14
U22405,2024-07-16,25,4,1,1,12
U22405,2024-07-16,25,4,1,2,65
U22405,2024-07-16,25,4,1,16,84
U22405,2024-07-16,25,4,1,20,14
U22405,2024-07-17,26,1,92,1,12
U22405,2024-07-17,26,1,92,2,65
U22405,2024-07-17,26,1,92,16,84
U22405,2024-07-17,26,1,92,20,14
U22405,2024-07-17,26,2,67,1,12
U22405,2024-07-17,26,2,67,2,65
U22405,2024-07-17,26,2,67,16,84
U22405,2024-07-17,26,2,67,20,14
U22405,2024-07-17,26,3,15,1,12
U22405,2024-07-17,26,3,15,2,65
U22405,2024-07-17,26,3,15,16,84
U22405,2024-07-17,26,3,15,20,14
U22405,2024-07-17,26,4,1,1,12
U22405,2024-07-17,26,4,1,2,65
U22405,2024-07-17,26,4,1,16,84
U22405,2024-07-17,26,4,1,20,14
U22405,2024-07-19,26,1,92,1,12
U22405,2024-07-19,26,1,92,2,65
U22405,2024-07-19,26,1,92,16,84
U22405,2024-07-19,26,1,92,20,14
U22405,2024-07-19,26,2,67,1,12
U22405,2024-07-19,26,2,67,2,65
U22405,2024-07-19,26,2,67,16,84
U22405,2024-07-19,26,2,67,20,14
U22405,2024-07-19,26,3,15,1,12
U22405,2024-07-19,26,3,15,2,65
U22405,2024-07-19,26,3,15,16,84
U22405,2024-07-19,26,3,15,20,14
U22405,2024-07-19,26,4,1,1,12
U22405,2024-07-19,26,4,1,2,65
U22405,2024-07-19,26,4,1,16,84
U22405,2024-07-19,26,4,1,20,14
U22405,2024-07-20,24,1,92,1,12
U22405,2024-07-20,24,1,92,2,65
U22405,2024-07-20,24,1,92,16,84
U22405,2024-07-20,24,1,92,20,14
U22405,2024-07-20,24,2,67,1,12
U22405,2024-07-20,24,2,67,2,65
U22405,2024-07-20,24,2,67,16,84
U22405,2024-07-20,24,2,67,20,14
U22405,2024-07-20,24,3,15,1,12
U22405,2024-07-20,24,3,15,2,65
U22405,2024-07-20,24,3,15,16,84
U22405,2024-07-20,24,3,15,20,14
U22405,2024-07-20,24,4,1,1,12
U22405,2024-07-20,24,4,1,2,65
U22405,2024-07-20,24,4,1,16,84
U22405,2024-07-20,24,4,1,20,14
U48420,2024-07-13,85,1,349,0,18
U48420,2024-07-13,85,1,349,1,6
U48420,2024-07-13,85,1,349,2,43
U48420,2024-07-13,85,1,349,3,27
U48420,2024-07-13,85,1,349,4,31
U48420,2024-07-13,85,1,349,5,18
U48420,2024-07-13,85,1,349,6,10
U48420,2024-07-13,85,1,349,8,17
U48420,2024-07-13,85,1,349,11,17
U48420,2024-07-13,85,1,349,12,8
U48420,2024-07-13,85,1,349,13,15
U48420,2024-07-13,85,1,349,14,26
U48420,2024-07-13,85,1,349,15,42
U48420,2024-07-13,85,1,349,16,55
U48420,2024-07-13,85,1,349,17,41
U48420,2024-07-13,85,1,349,18,63
U48420,2024-07-13,85,1,349,19,35
U48420,2024-07-13,85,1,349,20,38
U48420,2024-07-13,85,1,349,21,30
U48420,2024-07-13,85,1,349,22,44
U48420,2024-07-13,85,1,349,23,51
U48420,2024-07-13,85,2,184,0,18
U48420,2024-07-13,85,2,184,1,6
U48420,2024-07-13,85,2,184,2,43
U48420,2024-07-13,85,2,184,3,27
U48420,2024-07-13,85,2,184,4,31
U48420,2024-07-13,85,2,184,5,18
U48420,2024-07-13,85,2,184,6,10
U48420,2024-07-13,85,2,184,8,17
U48420,2024-07-13,85,2,184,11,17
U48420,2024-07-13,85,2,184,12,8
U48420,2024-07-13,85,2,184,13,15
U48420,2024-07-13,85,2,184,14,26
U48420,2024-07-13,85,2,184,15,42
U48420,2024-07-13,85,2,184,16,55
U48420,2024-07-13,85,2,184,17,41
U48420,2024-07-13,85,2,184,18,63
U48420,2024-07-13,85,2,184,19,35
U48420,2024-07-13,85,2,184,20,38
U48420,2024-07-13,85,2,184,21,30
U48420,2024-07-13,85,2,184,22,44
U48420,2024-07-13,85,2,184,23,51
U48420,2024-07-13,85,3,82,0,18
U48420,2024-07-13,85,3,82,1,6
U48420,2024-07-13,85,3,82,2,43
U48420,2024-07-13,85,3,82,3,27
U48420,2024-07-13,85,3,82,4,31
U48420,2024-07-13,85,3,82,5,18
U48420,2024-07-13,85,3,82,6,10
U48420,2024-07-13,85,3,82,8,17
U48420,2024-07-13,85,3,82,11,17
U48420,2024-07-13,85,3,82,12,8
U48420,2024-07-13,85,3,82,13,15
U48420,2024-07-13,85,3,82,14,26
U48420,2024-07-13,85,3,82,15,42
U48420,2024-07-13,85,3,82,16,55
U48420,2024-07-13,85,3,82,17,41
U48420,2024-07-13,85,3,82,18,63
U48420,2024-07-13,85,3,82,19,35
U48420,2024-07-13,85,3,82,20,38
U48420,2024-07-13,85,3,82,21,30
U48420,2024-07-13,85,3,82,22,44
U48420,2024-07-13,85,3,82,23,51
U48420,2024-07-13,85,4,20,0,18
U48420,2024-07-13,85,4,20,1,6
U48420,2024-07-13,85,4,20,2,43
U48420,2024-07-13,85,4,20,3,27
U48420,2024-07-13,85,4,20,4,31
U48420,2024-07-13,85,4,20,5,18
U48420,2024-07-13,85,4,20,6,10
U48420,2024-07-13,85,4,20,8,17
U48420,2024-07-13,85,4,20,11,17
U48420,2024-07-13,85,4,20,12,8
U48420,2024-07-13,85,4,20,13,15
U48420,2024-07-13,85,4,20,14,26
U48420,2024-07-13,85,4,20,15,42
U48420,2024-07-13,85,4,20,16,55
U48420,2024-07-13,85,4,20,17,41
U48420,2024-07-13,85,4,20,18,63
U48420,2024-07-13,85,4,20,19,35
U48420,2024-07-13,85,4,20,20,38
U48420,2024-07-13,85,4,20,21,30
U48420,2024-07-13,85,4,20,22,44
U48420,2024-07-13,85,4,20,23,51
U48420,2024-07-14,102,1,349,0,18
U48420,2024-07-14,102,1,349,1,6
U48420,2024-07-14,102,1,349,2,43
U48420,2024-07-14,102,1,349,3,27
U48420,2024-07-14,102,1,349,4,31
U48420,2024-07-14,102,1,349,5,18
U48420,2024-07-14,102,1,349,6,10
U48420,2024-07-14,102,1,349,8,17
U48420,2024-07-14,102,1,349,11,17
U48420,2024-07-14,102,1,349,12,8
U48420,2024-07-14,102,1,349,13,15
U48420,2024-07-14,102,1,349,14,26
U48420,2024-07-14,102,1,349,15,42
U48420,2024-07-14,102,1,349,16,55
U48420,2024-07-14,102,1,349,17,41
U48420,2024-07-14,102,1,349,18,63
U48420,2024-07-14,102,1,349,19,35
U48420,2024-07-14,102,1,349,20,38
U48420,2024-07-14,102,1,349,21,30
U48420,2024-07-14,102,1,349,22,44
U48420,2024-07-14,102,1,349,23,51
U48420,2024-07-14,102,2,184,0,18
U48420,2024-07-14,102,2,184,1,6
U48420,2024-07-14,102,2,184,2,43
U48420,2024-07-14,102,2,184,3,27
U48420,2024-07-14,102,2,184,4,31
U48420,2024-07-14,102,2,184,5,18
U48420,2024-07-14,102,2,184,6,10
U48420,2024-07-14,102,2,184,8,17
U48420,2024-07-14,102,2,184,11,17
U48420,2024-07-14,102,2,184,12,8
U48420,2024-07-14,102,2,184,13,15
U48420,2024-07-14,102,2,184,14,26
U48420,2024-07-14,102,2,184,15,42
U48420,2024-07-14,102,2,184,16,55
U48420,2024-07-14,102,2,184,17,41
U48420,2024-07-14,102,2,184,18,63
U48420,2024-07-14,102,2,184,19,35
U48420,2024-07-14,102,2,184,20,38
U48420,2024-07-14,102,2,184,21,30
U48420,2024-07-14,102,2,184,22,44
U48420,2024-07-14,102,2,184,23,51
U48420,2024-07-14,102,3,82,0,18
U48420,2024-07-14,102,3,82,1,6
U48420,2024-07-14,102,3,82,2,43
U48420,2024-07-14,102,3,82,3,27
U48420,2024-07-14,102,3,82,4,31
U48420,2024-07-14,102,3,82,5,18
U48420,2024-07-14,102,3,82,6,10
U48420,2024-07-14,102,3,82,8,17
U48420,2024-07-14,102,3,82,11,17
U48420,2024-07-14,102,3,82,12,8
U48420,2024-07-14,102,3,82,13,15
U48420,2024-07-14,102,3,82,14,26
U48420,2024-07-14,102,3,82,15,42
U48420,2024-07-14,102,3,82,16,55
U48420,2024-07-14,102,3,82,17,41
U48420,2024-07-14,102,3,82,18,63
U48420,2024-07-14,102,3,82,19,35
U48420,2024-07-14,102,3,82,20,38
U48420,2024-07-14,102,3,82,21,30
U48420,2024-07-14,102,3,82,22,44
U48420,2024-07-14,102,3,82,23,51
U48420,2024-07-14,102,4,20,0,18
U48420,2024-07-14,102,4,20,1,6
U48420,2024-07-14,102,4,20,2,43
U48420,2024-07-14,102,4,20,3,27
U48420,2024-07-14,102,4,20,4,31
U48420,2024-07-14,102,4,20,5,18
U48420,2024-07-14,102,4,20,6,10
U48420,2024-07-14,102,4,20,8,17
U48420,2024-07-14,102,4,20,11,17
U48420,2024-07-14,102,4,20,12,8
U48420,2024-07-14,102,4,20,13,15
U48420,2024-07-14,102,4,20,14,26
U48420,2024-07-14,102,4,20,15,42
U48420,2024-07-14,102,4,20,16,55
U48420,2024-07-14,102,4,20,17,41
U48420,2024-07-14,102,4,20,18,63
U48420,2024-07-14,102,4,20,19,35
U48420,2024-07-14,102,4,20,20,38
U48420,2024-07-14,102,4,20,21,30
U48420,2024-07-14,102,4,20,22,44
U48420,2024-07-14,102,4,20,23,51
U48420,2024-07-15,124,1,349,0,18
U48420,2024-07-15,124,1,349,1,6
U48420,2024-07-15,124,1,349,2,43
U48420,2024-07-15,124,1,349,3,27
U48420,2024-07-15,124,1,349,4,31
U48420,2024-07-15,124,1,349,5,18
U48420,2024-07-15,124,1,349,6,10
U48420,2024-07-15,124,1,349,8,17
U48420,2024-07-15,124,1,349,11,17
U48420,2024-07-15,124,1,349,12,8
U48420,2024-07-15,124,1,349,13,15
U48420,2024-07-15,124,1,349,14,26
U48420,2024-07-15,124,1,349,15,42
U48420,2024-07-15,124,1,349,16,55
U48420,2024-07-15,124,1,349,17,41
U48420,2024-07-15,124,1,349,18,63
U48420,2024-07-15,124,1,349,19,35
U48420,2024-07-15,124,1,349,20,38
U48420,2024-07-15,124,1,349,21,30
U48420,2024-07-15,124,1,349,22,44
U48420,2024-07-15,124,1,349,23,51
U48420,2024-07-15,124,2,184,0,18
U48420,2024-07-15,124,2,184,1,6
U48420,2024-07-15,124,2,184,2,43
U48420,2024-07-15,124,2,184,3,27
U48420,2024-07-15,124,2,184,4,31
U48420,2024-07-15,124,2,184,5,18
U48420,2024-07-15,124,2,184,6,10
U48420,2024-07-15,124,2,184,8,17
U48420,2024-07-15,124,2,184,11,17
U48420,2024-07-15,124,2,184,12,8
U48420,2024-07-15,124,2,184,13,15
U48420,2024-07-15,124,2,184,14,26
U48420,2024-07-15,124,2,184,15,42
U48420,2024-07-15,124,2,184,16,55
U48420,2024-07-15,124,2,184,17,41
U48420,2024-07-15,124,2,184,18,63
U48420,2024-07-15,124,2,184,19,35
U48420,2024-07-15,124,2,184,20,38
U48420,2024-07-15,124,2,184,21,30
U48420,2024-07-15,124,2,184,22,44
U48420,2024-07-15,124,2,184,23,51
U48420,2024-07-15,124,3,82,0,18
U48420,2024-07-15,124,3,82,1,6
U48420,2024-07-15,124,3,82,2,43
U48420,2024-07-15,124,3,82,3,27
U48420,2024-07-15,124,3,82,4,31
U48420,2024-07-15,124,3,82,5,18
U48420,2024-07-15,124,3,82,6,10
U48420,2024-07-15,124,3,82,8,17
U48420,2024-07-15,124,3,82,11,17
U48420,2024-07-15,124,3,82,12,8
U48420,2024-07-15,124,3,82,13,15
U48420,2024-07-15,124,3,82,14,26
U48420,2024-07-15,124,3,82,15,42
U48420,2024-07-15,124,3,82,16,55
U48420,2024-07-15,124,3,82,17,41
U48420,2024-07-15,124,3,82,18,63
U48420,2024-07-15,124,3,82,19,35
U48420,2024-07-15,124,3,82,20,38
U48420,2024-07-15,124,3,82,21,30
U48420,2024-07-15,124,3,82,22,44
U48420,2024-07-15,124,3,82,23,51
U48420,2024-07-15,124,4,20,0,18
U48420,2024-07-15,124,4,20,1,6
U48420,2024-07-15,124,4,20,2,43
U48420,2024-07-15,124,4,20,3,27
U48420,2024-07-15,124,4,20,4,31
U48420,2024-07-15,124,4,20,5,18
U48420,2024-07-15,124,4,20,6,10
U48420,2024-07-15,124,4,20,8,17
U48420,2024-07-15,124,4,20,11,17
U48420,2024-07-15,124,4,20,12,8
U48420,2024-07-15,124,4,20,13,15
U48420,2024-07-15,124,4,20,14,26
U48420,2024-07-15,124,4,20,15,42
U48420,2024-07-15,124,4,20,16,55
U48420,2024-07-15,124,4,20,17,41
